NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
58	hear	1247	EAR	2
#>>>				
#<<<				
59	know	3626	KNOW	2
59	know	1410	KNOW (SOMETHING)	2
59	know	2248	KNOW (SOMEBODY)	2
#>>>				
#<<<				
60	sleep	1585	SLEEP	2
60	sleep	2972	SLEEP (STATE)	2
#>>>				
61	die	1494	DIE	2
62	kill	1417	KILL	2
63	swim	1439	SWIM	2
#<<<				
64	fly	1504	FLY (INSECT)	2
64	fly	1441	FLY (MOVE THROUGH AIR)	2
#>>>				
#<<<				
65	walk	2979	WALK (MANNER)	2
65	walk	1443	WALK	2
#>>>				
66	come	1446	COME	2
#<<<				
67	lie	1411	LIE (REST)	2
67	lie	2826	LIE (FALSEHOOD)	2
67	lie	215	LIE DOWN	2
67	lie	601	LIE (MISLEAD)	2
#>>>				
#<<<				
68	sit	1649	SIT DOWN	2
68	sit	1416	SIT	2
#>>>				
#<<<				
69	stand	570	STAND UP	2
69	stand	1442	STAND	2
#>>>				
#<<<				
70	give	1447	GIVE	2
70	give	196	DONATE	2
#>>>				
71	say	1458	SAY	2
72	sun	1343	SUN	2
73	moon	1313	MOON	2
74	star	1430	STAR	2
#<<<				
75	water	2516	WATER BUFFALO	2
75	water	3078	IRRIGATE	2
75	water	948	WATER	2
#>>>				
#<<<				
76	rain	1253	RAIN (RAINING)	2
76	rain	658	RAIN (PRECIPITATION)	2
76	rain	2108	RAINING OR RAIN	2
#>>>				
#<<<				
77	stone	668	ROCK	2
77	stone	857	STONE	2
77	stone	1762	STONE (OF FRUIT)	2
#>>>				
#<<<				
78	sand	671	SAND	2
78	sand	3460	BEACH	2
#>>>				
#<<<				
79	earth	1228	EARTH (SOIL)	2
79	earth	965	WORLD	2
79	earth	2159	GROUND	2
79	earth	626	LAND	2
#>>>				
#<<<				
80	cloud	1489	CLOUD	2
80	cloud	448	STORM CLOUDS	2
#>>>				
#<<<				
81	smoke	1689	SMOKE (INHALE)	2
81	smoke	2859	SMOKE (EMIT SMOKE)	2
81	smoke	778	SMOKE (EXHAUST)	2
#>>>				
82	fire	221	FIRE	2
83	ashes	646	ASH	2
#<<<				
84	burn	2102	BURN	2
84	burn	3622	BURN (INJURY)	2
84	burn	141	BURN (SOMETHING)	2
84	burn	1428	BURNING	2
#>>>				
85	path	2252	PATH	2
86	mountain	639	MOUNTAIN	2
#<<<				
87	red	156	RED	2
87	red	388	FISHNET	2
#>>>				
88	green	1425	GREEN	2
89	yellow	1424	YELLOW	2
90	white	1335	WHITE	2
91	black	163	BLACK	2
92	night	1233	NIGHT	2
#<<<				
93	warm	1232	WARM	2
93	warm	2272	HOT OR WARM	2
#>>>				
#<<<				
93b	hot	1286	HOT	2
93b	hot	2272	HOT OR WARM	2
#>>>				
#<<<				
94	cold	2932	COLD (CHILL)	2
94	cold	102	COMMON COLD (DISEASE)	2
94	cold	2483	COLD (OF WEATHER)	2
94	cold	1287	COLD	2
#>>>				
95	full	1429	FULL	2
96	new	1231	NEW	2
97	good	1035	GOOD	2
#<<<				
98	round	1395	ROUND	2
98	round	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2
#>>>				
#<<<				
99	dry	1398	DRY	2
99	dry	1786	DRY UP	2
#>>>				
#<<<				
100	name	1405	NAME	2
100	name	180	CALL BY NAME	2
#>>>				
#	101/101	100%	

